"","car_name","brand","model","kilometers_driven","transmision","fuel","color","engine_capacity","Precio"
"40","Used Hyundai H1 12-Seater Passenger Van 2011","hyundai",2011,"170,000 KM","Manual","Diesel","White","N/A",350000
"41","Used Hyundai Elantra 1.6L 2008","hyundai",2008,"100,000 KM","Automatic","Petrol","Blue","1600",360000
"42","Used Hyundai Accent HB 2012","hyundai",2012,"260,000 KM","Automatic","Petrol","Silver","1600",365000
"43","New Toyota Hilux 2023","hyundai",2023,"0 KM","Manual","Diesel","White","2400",995000
"44","Used Hyundai IX35 2.0L FWD 2016","hyundai",2016,"235,000 KM","Automatic","Petrol","Tan","1600",800000
"45","Used Hyundai Elantra 1.6L Smart 2019","hyundai",2019,"216,000 KM","Automatic","Petrol","White","1591",760000
"46","Used Hyundai Verna 1.6 GLS M/T (Tinted Glass) 2014","hyundai",2014,"25,500 KM","Manual","Petrol","Gray","1599",330000
"47","Used Hyundai Elantra HD 1.6 GL A/T 2019","hyundai",2019,"155,000 KM","Automatic","Petrol","Silver","1591",520000
"48","Used Hyundai Elantra 2021","hyundai",2021,"39,500 KM","Automatic","Petrol","Gray","1600",950000
"49","Used Hyundai Verna 1.6 GLS M/T (Tinted Glass) 2018","hyundai",2018,"130,000 KM","Manual","Petrol","Burgundy","1599",315000
"50","Used Hyundai IX35 2016","hyundai",2016,"91,000 KM","Automatic","Petrol","Black","1600",870000
"51","Used Hyundai Tucson Turbo 1.6T GDI Midline 2022","hyundai",2022,"9,000 KM","Automatic","Petrol","Gray","1600",1700000
"52","Used Hyundai Elantra 1.6L GL A/T DAB ABS 2020","hyundai",2020,"89,850 KM","Automatic","Petrol","Silver","1591",525000
"53","Used Hyundai Tucson Turbo 1.6L GDI Basic Panorama (FWD) 2021","hyundai",2021,"40,000 KM","Automatic","Petrol","White","1591",1500000
"54","Used Hyundai i10 2014","hyundai",2014,"103,500 KM","Manual","Petrol","Burgundy","1000",280000
"55","Used Hyundai Elantra 1.6L Comfort 2017","hyundai",2017,"85,700 KM","Automatic","Petrol","Black","1591",615000
"56","New Toyota Hilux 2023","hyundai",2023,"0 KM","Manual","Diesel","White","2400",995000
"57","Used Hyundai Elantra 1.6L 2019","hyundai",2019,"86,000 KM","Automatic","Petrol","Gray","1600",630000
"58","Used Hyundai Accent (RB) 1.6L GL DAB (ABS) 2015","hyundai",2015,"130,000 KM","Automatic","Petrol","Red","1591",465000
"59","Used Hyundai Tucson 1.6L T-GDI Modern (FWD) 2022","hyundai",2022,"38,000 KM","Automatic","Petrol","Teal","1600",1750000
"60","Used Hyundai Accent 1.6L High 2015","hyundai",2015,"70,000 KM","Automatic","Petrol","Red","1591",500000
"61","Used Hyundai Verna 1.6 GL M/T (Base) 2008","hyundai",2008,"220,000 KM","Manual","Petrol","Black","1599",190000
"62","Used Hyundai Tucson 1.6L GDI TLe Basic (FWD) 2021","hyundai",2021,"75,000 KM","Automatic","Petrol","Gray","N/A",1150000
"63","Used Hyundai i10 2015","hyundai",2015,"103,000 KM","Automatic","Petrol","Burgundy","1100",420000
"64","Used Hyundai Accent (RB) 1.6L GL SR 2012","hyundai",2012,"199,999 KM","Automatic","Petrol","Silver","1600",360000
"65","Used Hyundai Matrix 2008","hyundai",2008,"218,000 KM","Automatic","Petrol","Maroon","1600",370000
"66","Used Hyundai Matrix 2003","hyundai",2003,"215,000 KM","Automatic","N/A","White","1500",330000
"67","Used Hyundai Verna Manual 2012","hyundai",2012,"500,000 KM","Manual","Petrol","White","1600",160000
"68","Used Hyundai Verna Manual 2013","hyundai",2013,"200,000 KM","Manual","Petrol","White","1600",175000
"69","New Toyota Hilux 2023","hyundai",2023,"0 KM","Manual","Diesel","White","2400",995000
"70","Used Hyundai Getz 1.6L 2010","hyundai",2010,"190,000 KM","Automatic","Petrol","Red","1600",335000
"71","Used Hyundai Tucson 2019","hyundai",2019,"80,000 KM","Automatic","Petrol","Red","1600",1300000
"72","Used Hyundai Verna Automatic 2012","hyundai",2012,"180,000 KM","Automatic","Petrol","Black","1600",310000
"73","Used Hyundai Creta 2016","hyundai",2016,"86,000 KM","Automatic","Petrol","Red","1600",780000
"74","Used Hyundai Accent Hatchback HL Exclusive 2016","hyundai",2016,"126,000 KM","Automatic","Petrol","Black","1600",425000
"75","Used Hyundai Tucson 2021","hyundai",2021,"60,000 KM","Automatic","Petrol","White","1600",1600000
"76","Used Hyundai Tucson 2020","hyundai",2020,"60,000 KM","N/A","N/A","White","N/A",1350000
"77","Used Hyundai Tucson 2.0L FWD 2022","hyundai",2022,"60,000 KM","Automatic","Petrol","White","2000",1450000
"78","Used Hyundai Accent 1.6L 2020","hyundai",2020,"70,000 KM","Automatic","Petrol","Silver","1600",550000
"79","Used Hyundai Elantra HD 1.6L Standard 2019","hyundai",2019,"48,000 KM","Automatic","Petrol","Black","1600",540000
"80","Used Hyundai Verna Manual 2008","hyundai",2008,"320,000 KM","Manual","Petrol","Black","1600",185000
"81","Used Hyundai Elantra 2014","hyundai",2014,"230,000 KM","Automatic","Petrol","Black","1600",450000
"82","New Toyota Hilux 2023","hyundai",2023,"0 KM","Manual","Diesel","White","2400",995000
"83","Used Hyundai Tucson 2021","hyundai",2021,"65,000 KM","Automatic","Petrol","Silver","1600",1600000
"84","Used Hyundai Tucson 2016","hyundai",2016,"81,000 KM","Automatic","Petrol","Brown","1600",750000
"85","Used Hyundai Tucson 2016","hyundai",2016,"81,000 KM","Automatic","Petrol","Brown","1600",770000
"86","Used Hyundai Tucson 2016","hyundai",2016,"81,000 KM","Automatic","Petrol","Brown","1600",800000
"87","Used Hyundai Verna Automatic 2007","hyundai",2007,"109,000 KM","Automatic","Petrol","Black","1600",200000
"88","Used Hyundai Tucson 2019","hyundai",2019,"85,000 KM","Automatic","Petrol","Silver","1600",1300000
"89","Used Hyundai Getz 1.6L 2010","hyundai",2010,"180,000 KM","Automatic","Petrol","Red","1600",320000
"90","Used Hyundai Getz 1.6L 2008","hyundai",2008,"69,000 KM","Manual","Petrol","Silver","1600",310000
"91","Used Hyundai Elantra 1.6L 2004","hyundai",2004,"168,000 KM","Manual","Petrol","Silver","1600",260000
"92","Used Hyundai Elantra 1.6L 2014","hyundai",2014,"78,000 KM","Automatic","Petrol","Black","1600",450000
"93","Used Hyundai Matrix 1.6L 2009","hyundai",2009,"220,000 KM","Automatic","Petrol","Burgundy","1600",340000
"94","Used Hyundai Matrix 1.6L 2007","hyundai",2007,"250,000 KM","Manual","Petrol","Black","1600",330000
"95","New Toyota Hilux 2023","hyundai",2023,"0 KM","Manual","Diesel","White","2400",995000
"96","Used Hyundai Verna Manual 2007","hyundai",2007,"100,000 KM","Manual","Petrol","Other","1600",175000
"97","Used Hyundai Matrix 1.6L 2007","hyundai",2007,"185,000 KM","Automatic","Petrol","White","N/A",355000
"98","Used Hyundai Verna Automatic 2004","hyundai",2004,"150,000 KM","Automatic","Petrol","Silver","1600",235000
"99","Used Hyundai Elantra 1.6L 2011","hyundai",2011,"135,000 KM","Automatic","Petrol","Silver","1600",450000
"100","Used Hyundai Verna Manual 2013","hyundai",2013,"270,000 KM","Manual","Petrol","Maroon","1600",200000
"101","Used Hyundai Elantra HD 2023","hyundai",2023,"2,000 KM","Automatic","N/A","Blue","N/A",745000
"102","Used Hyundai i20 1.4L 2021","hyundai",2021,"19,500 KM","Automatic","Petrol","Turqoise","1400",675000
"103","Used Hyundai Getz 1.6L 2010","hyundai",2010,"185,000 KM","Automatic","Petrol","Red","1600",290000
"104","Used Hyundai Elantra 1.6L 2009","hyundai",2009,"126,000 KM","Automatic","Petrol","Burgundy","1600",550000
"105","New Hyundai Tucson Turbo 2023","hyundai",2023,"0 KM","N/A","Hybrid","Gray","1600",1900000
"106","Used Hyundai Matrix 1.6L 2007","hyundai",2007,"120,000 KM","Automatic","Petrol","Teal","N/A",300000
"107","Used Hyundai Verna Manual 2018","hyundai",2018,"270,000 KM","Manual","Petrol","Silver","1600",285000
"108","New Toyota Hilux 2023","hyundai",2023,"0 KM","Manual","Diesel","White","2400",995000
"109","Used Hyundai Solaris GLS 2016","hyundai",2016,"120,000 KM","Automatic","Petrol","White","1400",390000
"110","Used Hyundai Matrix 1.6L 2003","hyundai",2003,"87,000 KM","Automatic","Petrol","Silver","1600",300000
"111","Used Hyundai Verna Manual 2009","hyundai",2009,"154,000 KM","Manual","Petrol","Blue","1600",142000
"112","Used Hyundai Verna Manual 2014","hyundai",2014,"300,000 KM","Manual","Petrol","Silver","1600",190000
"113","Used Hyundai Accent 1.6L 2018","hyundai",2018,"12,500 KM","Automatic","Petrol","Red","1600",490000
"114","Used Hyundai Accent 2011","hyundai",2011,"163,000 KM","Manual","Petrol","Gray","1600",320000
"115","Used Hyundai Tucson 2.0L AWD 2009","hyundai",2009,"175,000 KM","Automatic","Petrol","Silver","2000",350000
"116","Used Hyundai Getz 1.6L 2011","hyundai",2011,"225,000 KM","Manual","Petrol","Beige","1600",200000
"117","Used Hyundai Verna Manual 2009","hyundai",2009,"116,000 KM","Manual","Petrol","Blue","1600",200000
"118","Used Hyundai Elantra 1.6L 2022","hyundai",2022,"1,500 KM","Automatic","Petrol","Blue","1600",870000
"119","Used Hyundai Verna 2015","hyundai",2015,"66,500 KM","Automatic","Petrol","Gray","1601",260000
"120","Used Hyundai Matrix 1.6L 2006","hyundai",2006,"385,000 KM","Automatic","Petrol","Turqoise","1600",270000
"121","New Toyota Hilux 2023","hyundai",2023,"0 KM","Manual","Diesel","White","2400",995000
"122","Used Hyundai Elantra 1.6L 2012","hyundai",2012,"185,000 KM","Automatic","Petrol","Black","1600",370000
"123","Used Hyundai Elantra 2016","hyundai",2016,"260,000 KM","Automatic","Petrol","Silver","1600",600000
"124","Used Hyundai Elantra 1.6L GL 2011","hyundai",2011,"86,000 KM","Automatic","Petrol","Black","1591",345000
"125","Used Hyundai Elantra 1.6L GL 2017","hyundai",2017,"66,000 KM","Automatic","Petrol","White","1600",650000
"126","Used Hyundai Elantra HD 1.6 GL A/T (Tinted Glass) 2021","hyundai",2021,"114,000 KM","Automatic","Petrol","White","1600",440000
"127","Used Hyundai Matrix 2006","hyundai",2006,"160,000 KM","Automatic","Petrol","Blue","1600",365000
"128","Used Hyundai Matrix 2006","hyundai",2006,"160,000 KM","Automatic","Petrol","Blue","1600",365000
"129","Used Hyundai Tucson 1.6L GLS 2019","hyundai",2019,"120,000 KM","Automatic","Petrol","Black","1600",780000
"130","Used Hyundai Elantra 1.6L 2016","hyundai",2016,"110 KM","Automatic","Petrol","Silver","1600",400000
"131","Used Hyundai Matrix 2006","hyundai",2006,"160,000 KM","Automatic","Hybrid","Tan","1600",255000
"132","Used Hyundai Elantra HD 1.6 GL A/T 2020","hyundai",2020,"60,000 KM","Automatic","Petrol","Brown","1591",450000
"133","Used Hyundai Verna Manual 2013","hyundai",2013,"200,000 KM","Manual","Petrol","White","1600",137000
"134","New Toyota Hilux 2023","hyundai",2023,"0 KM","Manual","Diesel","White","2400",995000
"135","Used Hyundai HD 65 2018","hyundai",2018,"145,000 KM","Automatic","Petrol","Other","1600",310000
"136","Used Hyundai Verna Automatic 2013","hyundai",2013,"120,000 KM","Automatic","Petrol","Black","1600",230000
"137","Used Hyundai Accent HB 2022","hyundai",2022,"39,000 KM","Automatic","Petrol","Red","1600",480000
"138","New Hyundai Accent 1.4L Smart 2023","hyundai",2023,"0 KM","Automatic","Petrol","Black","1368",200000
"139","Used Hyundai Verna 2014","hyundai",2014,"500,000 KM","Manual","Petrol","Silver","1600",165000
"140","Used Hyundai Elantra 1.6L 2015","hyundai",2015,"209 KM","Automatic","Petrol","Black","1600",420000
"141","Used Hyundai Tucson Turbo 2021","hyundai",2021,"32,000 KM","Automatic","Petrol","White","N/A",1100000
"142","Used Hyundai Tucson 1.6L GLS TLe (Full Option) 2020","hyundai",2020,"28,000 KM","Automatic","Petrol","Red","1600",850000
"143","Used Hyundai Elantra HD 1.6 GL A/T 2018","hyundai",2018,"212,000 KM","Automatic","Petrol","Gray","1591",300000
"144","Used Hyundai Avante 2015","hyundai",2015,"92,000 KM","Automatic","Petrol","White","1600",340000
"145","Used Hyundai Avante 2015","hyundai",2015,"92,000 KM","Automatic","Petrol","Beige","1600",339998
"146","Used Hyundai H1 12-Seater Passenger Van 2013","hyundai",2013,"400,000 KM","Automatic","Diesel","White","2359",290000
"147","New Toyota Hilux 2023","hyundai",2023,"0 KM","Manual","Diesel","White","2400",995000
"148","Used Hyundai Matrix 1.6L 2003","hyundai",2003,"148,000 KM","Manual","Petrol","Green","N/A",150000
"149","Used Hyundai Tucson 1.6L GLS Plus 2017","hyundai",2017,"160,000 KM","Automatic","Petrol","Blue","1600",630000
"150","Used Hyundai Verna Automatic 2004","hyundai",2004,"217,000 KM","Automatic","Petrol","Silver","1600",150000
"151","Used Hyundai Elantra HD 2022","hyundai",2022,"155,000 KM","Automatic","Petrol","Blue","N/A",450000
"152","Used Hyundai Avante 2012","hyundai",2012,"91,000 KM","Automatic","Petrol","Gray","1600",310000
"153","New Hyundai Verna Manual 2010","hyundai",2010,"0 KM","Manual","Petrol","Maroon","1600",160000
"154","Used Hyundai Accent 1998","hyundai",1998,"200,000 KM","Manual","Petrol","Black","N/A",25000
"155","Used Hyundai Getz 2003","hyundai",2003,"150,000 KM","Manual","Petrol","Red","1400",185000
"156","Used Hyundai H1 12-Seater Passenger Van 2004","hyundai",2004,"250,000 KM","Manual","Diesel","Silver","2359",80000
"157","Used Hyundai Avante 2012","hyundai",2012,"100,000 KM","Automatic","Petrol","White","1600",290000
"158","Used Hyundai Tucson 1.6L GLS Plus 2019","hyundai",2019,"53,000 KM","Automatic","Petrol","Other","1600",700000
"159","Used Hyundai Tucson 1.6L GL FWD 2018","hyundai",2018,"129,000 KM","Automatic","Petrol","Silver","1591",675000
"160","New Toyota Hilux 2023","hyundai",2023,"0 KM","Manual","Diesel","White","2400",995000
"161","Used Hyundai Elantra 1.6L Smart Plus 2021","hyundai",2021,"18,000 KM","Automatic","Petrol","Red","1591",650000
"162","Used Hyundai Elantra 1.6L Smart Plus 2021","hyundai",2021,"18,000 KM","Automatic","Petrol","Red","1591",670000
"163","Used Hyundai Elantra HD 1.6 GL A/T 2019","hyundai",2019,"100,000 KM","Automatic","Petrol","Silver","1591",390000
"164","Used Hyundai Tucson 1.6L T-GDI (FWD) 2019","hyundai",2019,"60,000 KM","Automatic","Diesel","White","1600",685000
"165","Used Hyundai Elantra HD 1.6 GL A/T (Tinted Glass) 2019","hyundai",2019,"98,000 KM","Automatic","Petrol","Silver","1591",390000
"166","Used Hyundai Accent 1.6L 2011","hyundai",2011,"167,000 KM","Manual","Petrol","Tan","1600",230000
"167","Used Hyundai Accent 1.4L 1997","hyundai",1997,"200,000 KM","Manual","Petrol","White","1600",75000
"168","Used Hyundai Elantra HD 1.6 GL A/T (Tinted Glass) 2022","hyundai",2022,"900,000 KM","Automatic","Petrol","White","1591",90000
"169","Used Hyundai Tucson 1.6L GLS 2017","hyundai",2017,"187,000 KM","Automatic","Petrol","Red","1600",670000
"170","Used Hyundai Tucson Turbo 2021","hyundai",2021,"15,000 KM","CVT","Petrol","Gray","1600",1250000
"171","Used Hyundai Elantra 1.6L GL 2009","hyundai",2009,"130,000 KM","Automatic","Petrol","Silver","1591",270000
"172","Used Hyundai Avante 2002","hyundai",2002,"300,000 KM","Automatic","Petrol","Silver","1600",175000
"173","New Toyota Hilux 2023","hyundai",2023,"0 KM","Manual","Diesel","White","2400",995000
"174","Used Hyundai Elantra 1.6L 2016","hyundai",2016,"201,000 KM","Automatic","Petrol","Black","1600",350000
"175","Used Hyundai i10 1.2 GLS 2017","hyundai",2017,"47,000 KM","Automatic","Petrol","Red","1248",290000
"176","Used Hyundai Solaris GLS 2016","hyundai",2016,"240,000 KM","Automatic","Petrol","Blue","1400",210000
"177","Used Hyundai Accent HB 1999","hyundai",1999,"260,000 KM","Manual","N/A","Silver","N/A",85000
"178","Used Hyundai Accent 2000","hyundai",2000,"5,000 KM","N/A","Petrol","Maroon","N/A",50000
"179","Used Hyundai Santa Fe 3.3L AWD Top 2013","hyundai",2013,"265,000 KM","Automatic","Petrol","Silver","3300",635000
"180","Used Hyundai Accent (RB) 1.6L GL SR 2021","hyundai",2021,"76,000 KM","Automatic","Petrol","Silver","1600",330000
"181","Used Hyundai Elantra 1.6L Smart Plus 2022","hyundai",2022,"40,000 KM","Automatic","Petrol","Red","1591",650000
"182","Used Hyundai Creta 2016","hyundai",2016,"96,000 KM","Automatic","Petrol","Gray","1600",460000
"183","Used Hyundai Tucson Turbo 2020","hyundai",2020,"4,500 KM","Automatic","Petrol","Black","N/A",890000
"184","Used Hyundai Tucson 1.6L GLS SR (Full Option) Red Pack 2017","hyundai",2017,"108,000 KM","Automatic","Petrol","Silver","1600",670000
"185","Used Hyundai Avante 2004","hyundai",2004,"181,000 KM","Automatic","Petrol","White","1600",155000
"186","New Toyota Hilux 2023","hyundai",2023,"0 KM","Manual","Diesel","White","2400",995000
"187","Used Hyundai Accent 1.6L GL 2017","hyundai",2017,"56,000 KM","Automatic","Petrol","Silver","1591",305000
"188","Used Hyundai Tucson 1.6L GLS Plus 2019","hyundai",2019,"50,000 KM","Automatic","Petrol","Silver","1600",725000
"189","Used Hyundai Elantra 1.6L Smart HEV 2022","hyundai",2022,"1,500 KM","Automatic","Hybrid","Blue","1600",730000
"190","Used Hyundai Verna Manual 2005","hyundai",2005,"290,000 KM","Manual","Petrol","Turqoise","1600",90000
"191","Used Hyundai Elantra 2016","hyundai",2016,"119,000 KM","Automatic","Petrol","Gray","1600",390000
"192","Used Hyundai IX20 1.6L 2012","hyundai",2012,"150,000 KM","Automatic","Petrol","Black","1600",220000
"193","Used Hyundai Tucson 1.6L GLS Plus 2019","hyundai",2019,"50,000 KM","Automatic","Petrol","Other","1600",670000
"194","Used Hyundai Verna Manual 2005","hyundai",2005,"148,000 KM","Manual","Petrol","Silver","1600",125000
"195","Used Hyundai Elantra 1.6L Smart Plus 2022","hyundai",2022,"22,000 KM","Automatic","Petrol","Other","1591",620000
"196","Used Hyundai Tucson 1.6L T-GDI Advanced MHEV (AWD) 2022","hyundai",2022,"4,000 KM","Automatic","Petrol","Teal","1600",1000020
"197","Used Hyundai Elantra 1.6L 2012","hyundai",2012,"83,000 KM","Automatic","Petrol","Other","1600",255000
"198","Used Hyundai Matrix 1.6L 2008","hyundai",2008,"230,000 KM","Automatic","Petrol","Gray","1600",180000
"199","New Toyota Hilux 2023","hyundai",2023,"0 KM","Manual","Diesel","White","2400",995000
"200","Used Hyundai Verna 1.6 GL M/T (Base) 2011","hyundai",2011,"160,000 KM","Manual","Petrol","White","1599",95000
"201","Used Hyundai Tucson Turbo 2021","hyundai",2021,"20,000 KM","Automatic","Petrol","Silver","1600",920000
"202","Used Hyundai Accent 1997","hyundai",1997,"200,000 KM","Manual","N/A","Red","1300",35000
"203","Used Hyundai Accent 1.6L 1998","hyundai",1998,"20,000 KM","Manual","Petrol","Red","1600",60000
"204","Used Hyundai Accent 1.4L GL Hatch 1994","hyundai",1994,"300,000 KM","Manual","Petrol","Green","1300",455000
"205","Used Hyundai Tucson 1.6L GLS Plus 2019","hyundai",2019,"48,000 KM","Automatic","Petrol","Other","1600",650000
"206","Used Hyundai Accent 1.6L GL 2019","hyundai",2019,"65,000 KM","Automatic","Petrol","Gray","1591",350000
"207","Used Hyundai Elantra 1.6L GL 2018","hyundai",2018,"80,000 KM","Automatic","Petrol","White","1591",270000
"208","Used Hyundai Accent 2015","hyundai",2015,"50,000 KM","Automatic","N/A","Red","1600",260000
"209","Used Hyundai Accent 1994","hyundai",1994,"200,000 KM","Manual","Petrol","Green","1600",45000
"210","Used Hyundai Elantra 2012","hyundai",2012,"100,000 KM","Automatic","Petrol","Silver","1600",230000
"211","Used Hyundai Elantra 2.0L Mid 2012","hyundai",2012,"100,000 KM","Automatic","Petrol","Silver","1600",230000
"212","New Toyota Hilux 2023","hyundai",2023,"0 KM","Manual","Diesel","White","2400",995000
"213","Used Hyundai Verna Manual 2013","hyundai",2013,"160 KM","Manual","Petrol","Red","1600",122000
"214","Used Hyundai Accent 2006","hyundai",2006,"94,000 KM","Manual","Petrol","Blue","1300",70000
"215","Used Hyundai IX35 2016","hyundai",2016,"65,000 KM","Automatic","Petrol","Silver","1600",425000
"216","New Hyundai Tucson 1.6L T-GDI Smart Plus MHEV (AWD) 2022","hyundai",2022,"10 KM","Automatic","Petrol","Black","1600",770000
"217","New Hyundai Tucson 1.6L T-GDI Smart Plus MHEV (AWD) 2022","hyundai",2022,"10 KM","Automatic","Petrol","Black","1600",750000
"218","Used Hyundai Verna Manual 2012","hyundai",2012,"500,000 KM","Manual","Petrol","White","1600",120000
"219","Used Hyundai Verna 2015","hyundai",2015,"65,000 KM","Manual","Petrol","Other","1600",140000
"220","Used Hyundai Elantra HD 1.6 GL A/T SR (Tinted Glass) 2021","hyundai",2021,"38,000 KM","Automatic","Petrol","Burgundy","1600",310000
"221","Used Hyundai Tucson 2019","hyundai",2019,"13,000 KM","N/A","N/A","White","0",520000
"222","Used Hyundai Elantra 1.6L Smart 1997","hyundai",1997,"200,000 KM","Automatic","Petrol","White","1591",65000
"223","Used Hyundai IX35 2016","hyundai",2016,"59,000 KM","Automatic","Petrol","Black","1600",331000
"224","Used Hyundai Accent 1.6L GL 2017","hyundai",2017,"65,000 KM","Automatic","Petrol","Blue","1591",198000
"225","New Toyota Hilux 2023","hyundai",2023,"0 KM","Manual","Diesel","White","2400",995000
"226","Used Hyundai i10 2013","hyundai",2013,"60,754 KM","Automatic","Petrol","Blue","1100",130000
"227","Used Hyundai Matrix 1.6L 2006","hyundai",2006,"170,000 KM","Manual","Petrol","Black","1600",140000
"228","Used Hyundai Matrix 1.6L 2002","hyundai",2002,"100,000 KM","Automatic","Petrol","White","1",122000
"229","Used Hyundai Accent 2011","hyundai",2011,"185,600 KM","Manual","Petrol","Black","1600",120000
"230","Used Hyundai Tucson 1.6T GDI (Topline) Red Pack 2019","hyundai",2019,"40,000 KM","Automatic","Petrol","White","1600",525000
"231","Used Hyundai Matrix 2006","hyundai",2006,"132,000 KM","Automatic","Petrol","Red","1600",158000
"232","Used Hyundai Grand i10 2015","hyundai",2015,"130,000 KM","Automatic","Petrol","Silver","1400",175000
"233","Used Hyundai IX20 2012","hyundai",2012,"1,600 KM","Automatic","Petrol","Black","1600",185000
"234","Used Hyundai Verna 2015","hyundai",2015,"169,000 KM","Manual","Petrol","Gray","1600",120000
"235","Used Hyundai Matrix 2009","hyundai",2009,"600,000 KM","Manual","Petrol","Other","1400",130000
"236","Used Hyundai Tucson 1.6T GDI (Topline) Red Pack 2019","hyundai",2019,"80,000 KM","Automatic","Petrol","Black","1600",480000
"237","Used Hyundai Verna Automatic 2016","hyundai",2016,"200,000 KM","Automatic","Petrol","Other","1600",135000
"238","New Toyota Hilux 2023","hyundai",2023,"0 KM","Manual","Diesel","White","2400",995000
"239","Used Hyundai Equus 1998","hyundai",1998,"238 KM","N/A","N/A","Silver","N/A",55000
"240","Used Hyundai Elantra 1.6L GL A/T Highline 2020","hyundai",2020,"30,000 KM","Automatic","Petrol","Gray","1591",310000
"241","Used Hyundai Accent 1.4L Smart Fun 1997","hyundai",1997,"2,000,000 KM","Automatic","Petrol","Gold","1368",50000
"242","Used Hyundai Grand i10 2015","hyundai",2015,"175,000 KM","Automatic","Petrol","Red","1200",160000
"243","Used Hyundai Matrix 1.6L 2006","hyundai",2006,"200,000 KM","Manual","Petrol","Black","1600",125000
"244","Used Hyundai Creta 1.6L Top 2017","hyundai",2017,"30,000 KM","Automatic","Petrol","Black","1591",290000
"245","Used Hyundai i10 2014","hyundai",2014,"19,000 KM","Manual","Petrol","Gold","1100",135000
"246","Used Hyundai Elantra HD 1.6 GL A/T Highline 2008","hyundai",2008,"6,800 KM","Automatic","Petrol","Other","1591",240000
"247","Used Hyundai Accent 1.4L GL Hatch 2006","hyundai",2006,"200,000 KM","Automatic","Petrol","Silver","1400",69000
"248","Used Hyundai Matrix 1.6L 2005","hyundai",2005,"205,000 KM","Automatic","Petrol","Black","1600",117000
"249","Used Hyundai Tucson 2019","hyundai",2019,"100,000 KM","Automatic","Petrol","Black","1600",360000
"250","Used Hyundai Matrix 1.6L 2005","hyundai",2005,"205,000 KM","Automatic","Petrol","Black","1600",118000
"251","New Toyota Hilux 2023","hyundai",2023,"0 KM","Manual","Diesel","White","2400",995000
"252","Used Hyundai Verna Manual 2008","hyundai",2008,"157,000 KM","Manual","Petrol","Black","1500",70000
"253","Used Hyundai Tucson 1.6L GLS TLe (Full Option) 2020","hyundai",2020,"15,000 KM","Automatic","Petrol","Gray","1600",379999
"254","Used Hyundai Verna 1.6 GLS M/T (Tinted Glass) 2007","hyundai",2007,"83,000 KM","Manual","Petrol","Silver","1599",90000
"255","Used Hyundai Matrix 1.6L 2011","hyundai",2011,"107,700 KM","Automatic","Petrol","Black","1600",175000
"256","Used Hyundai Elantra HD 1.6 GL A/T Highline 2008","hyundai",2008,"6,800 KM","Automatic","Petrol","Other","1600",240000
"257","Used Hyundai Verna Manual 2016","hyundai",2016,"75,000 KM","Manual","Petrol","Silver","1600",130000
"258","Used Hyundai Accent 1997","hyundai",1997,"1,000 KM","Manual","Petrol","Gold","1500",45000
"259","Used Hyundai Verna Manual 2010","hyundai",2010,"200,000 KM","Manual","Petrol","White","1600",85000
"260","Used Hyundai Verna 1.6 GLS M/T 2011","hyundai",2011,"102,999 KM","Manual","Petrol","Gray","1599",107000
"261","Used Hyundai Elantra 2010","hyundai",2010,"250,000 KM","Automatic","Petrol","Gold","1600",145000
"262","Used Hyundai Accent 1.4L 2000","hyundai",2000,"180,000 KM","Automatic","Petrol","Green","1400",80000
"263","Used Hyundai Matrix 1.6L 2005","hyundai",2005,"205,000 KM","Automatic","Petrol","Black","1600",122000
"264","New Toyota Hilux 2023","hyundai",2023,"0 KM","Manual","Diesel","White","2400",995000
"265","Used Hyundai Verna Manual 2010","hyundai",2010,"65,000 KM","Manual","Petrol","Red","1600",105000
"266","Used Hyundai Verna Manual 2008","hyundai",2008,"110 KM","Manual","Petrol","Bronze","1500",90000
"267","Used Hyundai Accent 2006","hyundai",2006,"265,000 KM","Manual","Petrol","Red","1300",60000
"268","Used Hyundai Accent 2016","hyundai",2016,"100,000 KM","N/A","Petrol","Brown","N/A",170000
"269","Used Hyundai Matrix 1.6L 2008","hyundai",2008,"190,000 KM","Automatic","Petrol","Other","1600",163000
"270","Used Hyundai Matrix 1.6L 2008","hyundai",2008,"19,000 KM","Automatic","Petrol","Silver","N/A",163000
"271","Used Hyundai Verna Manual 2008","hyundai",2008,"151,000 KM","Manual","Petrol","Black","1600",90000
"272","Used Hyundai Tucson 1.6L GDI Basic (FWD) 2019","hyundai",2019,"34,999 KM","Automatic","Petrol","Burgundy","1591",445000
"273","Used Hyundai Verna Manual 2007","hyundai",2007,"190,000 KM","Manual","Petrol","Black","1600",8298
"274","Used Hyundai Matrix 1.6L 2004","hyundai",2004,"200,000 KM","Manual","Petrol","Bronze","1600",125000
"275","Used Hyundai Accent 2015","hyundai",2015,"76,000 KM","Automatic","Petrol","Black","1599",154995
"276","Used Hyundai Coupe 2006","hyundai",2006,"159 KM","Automatic","N/A","Red","2000",125000
"277","New Toyota Hilux 2023","hyundai",2023,"0 KM","Manual","Diesel","White","2400",995000
"278","Used Hyundai Matrix 2006","hyundai",2006,"77,000 KM","N/A","N/A","Blue","N/A",159000
"279","Used Hyundai Accent 1.6L GL DAB (ABS) 2017","hyundai",2017,"73,000 KM","Automatic","Petrol","Burgundy","1600",200000
"280","Used Hyundai Accent 1.6L GL DAB (ABS) 2017","hyundai",2017,"73,000 KM","Automatic","Petrol","Burgundy","1600",200000
